Datetime,Event,Actual,Forecast,Deviation
2021-07-01 14:00:00,ISM,60.6,61.0,-0.3999999999999986
2021-07-02 12:30:00,Earnings,0.3,0.4,-0.10000000000000003
2021-07-02 12:30:00,NFP,850000.0,700000.0,150000.0
2021-07-08 12:30:00,Jobless,373000.0,350000.0,23000.0
2021-07-13 12:30:00,CPI,0.9,0.4,0.5
2021-07-13 12:30:00,CPI,5.4,4.9,0.5
2021-07-13 12:30:00,CPI,0.9,0.5,0.4
2021-07-14 12:30:00,PPI,1.0,0.6,0.4
2021-07-15 12:30:00,Jobless,360000.0,360000.0,0.0
2021-07-16 12:30:00,Retail,0.6,-0.4,1.0
2021-07-16 12:30:00,Retail,1.3,0.4,0.9
2021-07-22 12:30:00,Jobless,419000.0,350000.0,69000.0
2021-07-28 18:00:00,FedRate,0.25,0.25,0.0
2021-07-29 12:30:00,GDP,6.5,8.5,-2.0
2021-07-29 12:30:00,Jobless,400000.0,380000.0,20000.0
2021-08-02 14:00:00,ISM,59.5,60.9,-1.3999999999999986
2021-08-04 12:15:00,ADP,330000.0,695000.0,-365000.0
2021-08-05 12:30:00,Jobless,385000.0,384000.0,1000.0
2021-08-06 12:30:00,NFP,943000.0,870000.0,73000.0
2021-08-06 12:30:00,Earnings,0.4,0.3,0.10000000000000003
2021-08-11 12:30:00,CPI,5.4,5.3,0.10000000000000053
2021-08-11 12:30:00,CPI,0.5,0.5,0.0
2021-08-11 12:30:00,CPI,0.3,0.4,-0.10000000000000003
2021-08-12 12:30:00,PPI,1.0,0.6,0.4
2021-08-12 12:30:00,Jobless,375000.0,375000.0,0.0
2021-08-17 12:30:00,Retail,-0.4,0.1,-0.5
2021-08-17 12:30:00,Retail,-1.1,-0.3,-0.8
2021-08-19 12:30:00,Jobless,348000.0,363000.0,-15000.0
2021-08-26 12:30:00,GDP,6.6,6.7,-0.10000000000000053
2021-08-26 12:30:00,Jobless,353000.0,350000.0,3000.0
2021-09-01 12:15:00,ADP,374000.0,613000.0,-239000.0
2021-09-01 14:00:00,ISM,59.9,58.6,1.2999999999999972
2021-09-02 12:30:00,Jobless,340000.0,345000.0,-5000.0
2021-09-03 12:30:00,Earnings,0.6,0.3,0.3
2021-09-03 12:30:00,NFP,235000.0,750000.0,-515000.0
2021-09-09 12:30:00,Jobless,310000.0,335000.0,-25000.0
2021-09-10 12:30:00,PPI,0.7,0.6,0.09999999999999998
2021-09-14 12:30:00,CPI,0.3,0.4,-0.10000000000000003
2021-09-14 12:30:00,CPI,0.1,0.3,-0.19999999999999998
2021-09-14 12:30:00,CPI,5.3,5.3,0.0
2021-09-16 12:30:00,Retail,1.8,-0.1,1.9000000000000001
2021-09-16 12:30:00,Retail,0.7,-0.8,1.5
2021-09-16 12:30:00,Jobless,332000.0,330000.0,2000.0
2021-09-22 18:00:00,FedRate,0.25,0.25,0.0
2021-09-23 12:30:00,Jobless,351000.0,320000.0,31000.0
2021-09-30 12:30:00,GDP,6.7,6.6,0.10000000000000053
2021-09-30 12:30:00,Jobless,362000.0,335000.0,27000.0
2021-10-01 14:00:00,ISM,61.1,59.6,1.5
2021-10-06 12:15:00,ADP,568000.0,428000.0,140000.0
2021-10-07 12:30:00,Jobless,326000.0,348000.0,-22000.0
2021-10-08 12:30:00,NFP,194000.0,500000.0,-306000.0
2021-10-08 12:30:00,Earnings,0.6,0.4,0.19999999999999996
2021-10-13 12:30:00,CPI,0.4,0.3,0.10000000000000003
2021-10-13 12:30:00,CPI,5.4,5.3,0.10000000000000053
2021-10-13 12:30:00,CPI,0.2,0.2,0.0
2021-10-14 12:30:00,PPI,0.5,0.6,-0.09999999999999998
2021-10-14 12:30:00,Jobless,293000.0,319000.0,-26000.0
2021-10-15 12:30:00,Retail,0.7,-0.2,0.8999999999999999
2021-10-15 12:30:00,Retail,0.8,0.5,0.30000000000000004
2021-10-21 12:30:00,Jobless,290000.0,300000.0,-10000.0
2021-10-28 12:30:00,GDP,2.0,2.7,-0.7000000000000002
2021-10-28 12:30:00,Jobless,281000.0,290000.0,-9000.0
2021-11-01 14:00:00,ISM,60.8,60.5,0.29999999999999716
2021-11-03 12:15:00,ADP,571000.0,400000.0,171000.0
2021-11-03 18:00:00,FedRate,0.25,0.25,0.0
2021-11-04 12:30:00,Jobless,269000.0,275000.0,-6000.0
2021-11-05 12:30:00,Earnings,0.4,0.4,0.0
2021-11-05 12:30:00,NFP,531000.0,450000.0,81000.0
2021-11-09 13:30:00,PPI,0.6,0.6,0.0
2021-11-10 13:30:00,CPI,0.9,0.6,0.30000000000000004
2021-11-10 13:30:00,CPI,0.6,0.4,0.19999999999999996
2021-11-10 13:30:00,CPI,6.2,5.8,0.40000000000000036
2021-11-10 13:30:00,Jobless,267000.0,265000.0,2000.0
2021-11-16 13:30:00,Retail,1.7,1.0,0.7
2021-11-16 13:30:00,Retail,1.7,1.2,0.5
2021-11-18 13:30:00,Jobless,268000.0,260000.0,8000.0
2021-11-24 13:30:00,GDP,2.1,2.2,-0.10000000000000009
2021-11-24 13:30:00,Jobless,199000.0,260000.0,-61000.0
2021-12-01 13:15:00,ADP,534000.0,525000.0,9000.0
2021-12-01 15:00:00,ISM,61.1,61.0,0.10000000000000142
2021-12-02 13:30:00,Jobless,222000.0,240000.0,-18000.0
2021-12-03 13:30:00,Earnings,0.3,0.4,-0.10000000000000003
2021-12-03 13:30:00,NFP,210000.0,550000.0,-340000.0
2021-12-09 13:30:00,Jobless,184000.0,215000.0,-31000.0
2021-12-10 13:30:00,CPI,0.8,0.7,0.10000000000000009
2021-12-10 13:30:00,CPI,0.5,0.5,0.0
2021-12-10 13:30:00,CPI,6.8,6.8,0.0
2021-12-14 13:30:00,PPI,0.8,0.5,0.30000000000000004
2021-12-15 13:30:00,Retail,0.3,0.8,-0.5
2021-12-15 13:30:00,Retail,0.3,0.9,-0.6000000000000001
2021-12-15 19:00:00,FedRate,0.25,0.25,0.0
2021-12-16 13:30:00,Jobless,206000.0,200000.0,6000.0
2021-12-22 13:30:00,GDP,2.3,2.1,0.19999999999999973
2021-12-23 13:30:00,Jobless,205000.0,205000.0,0.0
2021-12-30 13:30:00,Jobless,198000.0,208000.0,-10000.0
2022-01-04 15:00:00,ISM,58.7,60.0,-1.2999999999999972
2022-01-05 13:15:00,ADP,807000.0,400000.0,407000.0
2022-01-06 13:30:00,Jobless,207000.0,197000.0,10000.0
2022-01-07 13:30:00,Earnings,0.6,0.4,0.19999999999999996
2022-01-07 13:30:00,NFP,199000.0,400000.0,-201000.0
2022-01-12 13:30:00,CPI,0.5,0.4,0.09999999999999998
2022-01-12 13:30:00,CPI,0.6,0.5,0.09999999999999998
2022-01-12 13:30:00,CPI,7.0,7.0,0.0
2022-01-13 13:30:00,PPI,0.2,0.4,-0.2
2022-01-13 13:30:00,Jobless,230000.0,200000.0,30000.0
2022-01-14 13:30:00,Retail,-1.9,-0.1,-1.7999999999999998
2022-01-14 13:30:00,Retail,-2.3,0.2,-2.5
2022-01-20 13:30:00,Jobless,286000.0,220000.0,66000.0
2022-01-26 19:00:00,FedRate,0.25,0.25,0.0
2022-01-27 13:30:00,GDP,6.9,5.5,1.4000000000000004
2022-01-27 13:30:00,Jobless,260000.0,260000.0,0.0
2022-02-01 15:00:00,ISM,57.6,57.5,0.10000000000000142
2022-02-02 13:15:00,ADP,-301000.0,207000.0,-508000.0
2022-02-03 13:30:00,Jobless,238000.0,245000.0,-7000.0
2022-02-04 13:30:00,Earnings,0.7,0.5,0.19999999999999996
2022-02-04 13:30:00,NFP,467000.0,150000.0,317000.0
2022-02-10 13:30:00,CPI,0.6,0.5,0.09999999999999998
2022-02-10 13:30:00,CPI,0.6,0.5,0.09999999999999998
2022-02-10 13:30:00,CPI,7.5,7.3,0.20000000000000018
2022-02-10 13:30:00,Jobless,223000.0,230000.0,-7000.0
2022-02-15 13:30:00,PPI,1.0,0.5,0.5
2022-02-16 13:30:00,Retail,3.8,2.0,1.7999999999999998
2022-02-16 13:30:00,Retail,3.3,0.8,2.5
2022-02-17 13:30:00,Jobless,248000.0,219000.0,29000.0
2022-02-24 13:30:00,GDP,7.0,7.0,0.0
2022-02-24 13:30:00,Jobless,232000.0,235000.0,-3000.0
2022-03-01 15:00:00,ISM,58.6,58.0,0.6000000000000014
2022-03-02 13:15:00,ADP,475000.0,378000.0,97000.0
2022-03-03 13:30:00,Jobless,215000.0,226000.0,-11000.0
2022-03-04 13:30:00,Earnings,0.0,0.5,-0.5
2022-03-04 13:30:00,NFP,678000.0,400000.0,278000.0
2022-03-10 13:30:00,Jobless,227000.0,217000.0,10000.0
2022-03-10 13:30:00,CPI,0.8,0.8,0.0
2022-03-10 13:30:00,CPI,0.5,0.5,0.0
2022-03-10 13:30:00,CPI,7.9,7.9,0.0
2022-03-15 12:30:00,PPI,0.8,0.9,-0.09999999999999998
2022-03-16 12:30:00,Retail,0.2,0.9,-0.7
2022-03-16 12:30:00,Retail,0.3,0.4,-0.10000000000000003
2022-03-16 18:00:00,FedRate,0.5,0.5,0.0
2022-03-17 12:30:00,Jobless,214000.0,220000.0,-6000.0
2022-03-24 12:30:00,Jobless,187000.0,212000.0,-25000.0
2022-03-30 12:15:00,ADP,455000.0,450000.0,5000.0
2022-03-30 12:30:00,GDP,6.9,7.1,-0.1999999999999993
2022-03-31 12:30:00,Jobless,202000.0,197000.0,5000.0
